Soil_Type,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Previous_Crop,Region,Fertilizer_Used_Last_Season,Yield_Last_Season,Recommended_Fertilizer
Silt,6.81,21.9,0.35,1.65,92,68,70,26.26,36.52,2193.34,Maize,Flowering,Zaid,Drip,Wheat,Central,209.51,3.98,Compost
Clay,8.01,47.61,1.09,1.0,34,30,23,17.97,54.54,1188.25,Rice,Vegetative,Rabi,Sprinkler,Cotton,West,207.55,5.6,NPK
Clay,8.47,38.46,0.83,0.92,113,59,85,23.72,41.37,2589.55,Rice,Sowing,Zaid,Rainfed,Wheat,West,125.1,4.6,Zinc Sulphate
Loamy,6.35,49.97,0.45,1.76,37,29,43,14.34,69.11,877.88,Rice,Harvest,Rabi,Drip,Sugarcane,North,186.72,5.82,NPK
Loamy,5.95,19.69,0.36,0.89,78,39,63,20.81,66.74,1830.47,Sugarcane,Sowing,Zaid,Drip,Cotton,West,279.15,3.75,Compost
Silt,6.52,41.24,1.04,0.97,81,34,44,25.89,70.74,1683.83,Cotton,Sowing,Kharif,Canal,Rice,South,153.95,1.67,SSP
Loamy,7.63,25.93,0.58,1.56,32,25,115,33.96,78.1,576.77,Potato,Sowing,Rabi,Sprinkler,Sugarcane,North,300.0,4.89,DAP
Loamy,7.08,46.5,0.96,2.54,35,51,60,37.29,53.6,1514.89,Wheat,Vegetative,Rabi,Rainfed,Rice,Central,186.19,5.95,Urea
Sandy,6.62,51.68,0.54,1.82,21,21,16,15.54,56.16,2443.14,Rice,Flowering,Rabi,Drip,Sugarcane,East,154.31,6.68,Urea
Loamy,7.39,29.5,0.85,0.96,23,37,16,31.52,34.79,2697.19,Wheat,Flowering,Kharif,Sprinkler,Wheat,East,283.45,5.05,NPK
Silt,6.17,51.06,1.06,1.76,55,20,19,26.32,66.55,2304.82,Cotton,Vegetative,Kharif,Sprinkler,Rice,South,126.48,6.8,NPK
Loamy,6.39,26.81,1.2,1.9,119,50,72,21.8,67.2,2812.12,Wheat,Sowing,Rabi,Canal,Tomato,East,72.14,4.68,Urea
Sandy,6.95,24.78,0.3,1.82,21,33,41,23.89,57.51,402.32,Cotton,Harvest,Zaid,Rainfed,Wheat,North,170.76,4.73,DAP
Clay,5.16,33.05,1.37,2.56,58,29,49,16.27,68.8,200.0,Sugarcane,Sowing,Kharif,Rainfed,Cotton,South,159.98,5.56,SSP
Clay,8.0,30.5,0.72,2.3,92,74,12,28.98,65.26,1004.32,Maize,Harvest,Rabi,Canal,Potato,Central,232.28,3.57,MOP
Clay,8.5,31.34,0.29,0.72,117,58,71,26.84,56.09,1080.19,Potato,Vegetative,Zaid,Sprinkler,Wheat,East,50.0,6.57,Compost
Sandy,7.06,36.74,1.12,0.48,141,50,65,16.61,56.55,1993.33,Cotton,Flowering,Kharif,Rainfed,Tomato,South,273.09,2.58,Compost
Sandy,7.05,14.71,0.46,0.37,94,80,26,23.74,69.9,1640.75,Tomato,Vegetative,Kharif,Canal,Wheat,South,226.02,1.82,MOP
Silt,6.78,26.9,1.37,1.43,96,71,18,33.64,71.63,1470.58,Cotton,Flowering,Rabi,Sprinkler,Wheat,South,237.09,2.22,MOP
Sandy,7.44,33.49,0.89,2.19,24,42,82,26.73,75.35,1210.87,Maize,Sowing,Kharif,Rainfed,Cotton,South,52.63,7.74,Urea
Loamy,6.71,32.31,0.72,1.35,63,20,56,21.65,50.69,2340.42,Sugarcane,Sowing,Rabi,Canal,Maize,North,154.92,2.0,DAP
Silt,5.61,38.07,1.03,1.04,57,15,47,21.68,69.41,1387.88,Cotton,Sowing,Rabi,Canal,Sugarcane,East,150.56,6.27,SSP
Sandy,7.73,29.56,1.08,1.14,134,59,106,24.54,58.05,2747.01,Wheat,Flowering,Zaid,Sprinkler,Sugarcane,Central,228.38,2.73,Zinc Sulphate
Loamy,7.44,44.76,0.75,1.36,80,85,82,25.97,62.95,2034.27,Maize,Vegetative,Rabi,Canal,Tomato,East,142.12,4.38,Zinc Sulphate
Sandy,7.16,34.71,0.2,1.24,70,22,28,23.56,55.09,793.19,Potato,Sowing,Kharif,Canal,Wheat,North,139.79,6.61,NPK
Sandy,7.47,21.1,0.97,3.0,139,51,40,23.37,52.52,2595.78,Maize,Vegetative,Kharif,Canal,Maize,West,50.0,5.23,MOP
Loamy,7.24,10.0,0.29,1.16,39,38,41,24.78,74.73,2171.56,Maize,Flowering,Zaid,Canal,Maize,West,70.78,6.12,NPK
Loamy,5.57,14.72,0.48,1.74,66,69,87,22.94,30.0,488.67,Cotton,Sowing,Kharif,Drip,Potato,West,265.29,3.11,Compost
Silt,5.79,38.0,0.66,1.89,69,43,31,16.65,48.9,560.52,Rice,Flowering,Zaid,Canal,Sugarcane,East,205.78,7.48,MOP
Loamy,6.64,50.13,0.75,1.67,53,33,44,28.65,81.6,1594.86,Tomato,Sowing,Kharif,Drip,Potato,West,199.38,6.36,SSP
Clay,5.49,51.38,0.86,1.9,93,33,57,24.41,80.54,1728.44,Sugarcane,Vegetative,Zaid,Canal,Sugarcane,Central,211.9,2.14,SSP
Clay,8.44,12.57,0.5,2.25,119,87,62,17.73,61.05,2186.22,Potato,Flowering,Zaid,Drip,Wheat,North,90.96,3.75,Zinc Sulphate
Silt,5.5,32.91,0.52,1.68,28,32,48,18.96,75.06,1495.09,Rice,Harvest,Zaid,Canal,Cotton,West,59.33,3.92,NPK
Loamy,5.19,19.85,0.62,0.33,48,27,76,12.28,33.99,633.93,Potato,Flowering,Rabi,Rainfed,Rice,West,72.8,4.47,Urea
Clay,7.57,33.0,0.74,2.41,35,16,60,26.48,30.0,580.23,Wheat,Harvest,Rabi,Sprinkler,Tomato,Central,171.49,6.71,DAP
Sandy,6.7,21.7,0.42,3.0,114,62,19,17.07,31.15,1630.67,Maize,Sowing,Zaid,Canal,Cotton,North,245.66,5.09,Compost
Silt,5.36,50.9,0.57,1.32,105,16,67,32.8,42.75,2031.92,Sugarcane,Harvest,Kharif,Sprinkler,Tomato,West,109.41,4.5,SSP
Silt,6.11,23.08,1.33,1.65,49,64,53,18.17,55.61,1909.21,Potato,Vegetative,Kharif,Rainfed,Sugarcane,West,223.3,5.99,Urea
Loamy,7.2,25.29,1.06,1.97,49,46,105,40.0,68.85,1866.99,Sugarcane,Vegetative,Rabi,Sprinkler,Tomato,East,214.09,7.13,Urea
Sandy,7.92,50.13,0.82,1.19,143,66,35,33.95,61.21,1016.15,Potato,Vegetative,Rabi,Drip,Sugarcane,North,114.5,3.29,MOP
Silt,5.27,27.83,0.51,2.08,111,27,83,24.57,72.1,1410.56,Cotton,Sowing,Kharif,Canal,Potato,Central,50.0,1.0,SSP
Clay,7.23,21.39,1.06,0.15,137,40,13,24.36,51.48,1056.57,Tomato,Vegetative,Kharif,Rainfed,Wheat,South,134.71,4.77,Compost
Clay,6.35,52.56,0.99,1.23,157,67,43,28.15,44.58,653.43,Sugarcane,Sowing,Zaid,Rainfed,Sugarcane,South,239.41,2.18,MOP
Silt,7.06,35.72,0.8,0.96,114,85,18,32.74,67.73,1510.28,Rice,Flowering,Kharif,Sprinkler,Maize,North,137.68,2.6,MOP
Clay,5.0,26.51,0.49,1.24,35,21,92,25.35,61.21,1154.87,Potato,Sowing,Kharif,Drip,Cotton,East,185.48,4.01,DAP
Loamy,8.0,25.77,1.29,0.83,49,71,67,30.31,51.46,1465.75,Cotton,Vegetative,Rabi,Rainfed,Wheat,South,239.31,3.61,Urea
Sandy,6.66,19.39,1.39,1.08,58,32,34,33.3,56.58,1244.45,Rice,Vegetative,Kharif,Drip,Potato,North,149.35,7.55,Urea
Loamy,7.93,37.14,0.53,1.25,104,88,87,35.89,69.92,1753.06,Rice,Vegetative,Rabi,Sprinkler,Potato,Central,104.71,1.77,Zinc Sulphate
Silt,7.29,34.76,0.78,0.86,24,31,79,18.36,52.71,2730.42,Potato,Vegetative,Zaid,Canal,Wheat,East,232.86,1.0,DAP
Clay,7.2,32.87,0.85,0.51,52,17,62,16.61,40.78,2050.27,Sugarcane,Sowing,Kharif,Rainfed,Tomato,South,219.51,3.9,DAP
Sandy,5.85,16.85,1.18,1.14,125,54,19,18.7,61.12,541.43,Potato,Harvest,Rabi,Sprinkler,Wheat,West,147.35,6.79,MOP
Silt,7.87,28.74,1.12,0.7,86,67,63,38.5,54.13,2444.13,Maize,Vegetative,Zaid,Sprinkler,Rice,West,210.4,5.71,Zinc Sulphate
Loamy,6.41,51.72,0.31,1.22,46,16,46,32.78,58.08,1289.97,Tomato,Vegetative,Kharif,Sprinkler,Rice,Central,257.78,1.0,NPK
Clay,7.01,37.6,0.43,1.7,60,27,29,23.4,51.68,1898.78,Cotton,Harvest,Zaid,Drip,Tomato,South,75.87,2.75,NPK
Silt,7.79,41.19,1.05,0.53,91,63,51,34.01,70.39,1151.12,Maize,Vegetative,Rabi,Rainfed,Potato,Central,170.79,5.39,Zinc Sulphate
Clay,6.54,41.67,0.41,2.66,71,36,27,18.6,67.04,2690.29,Cotton,Harvest,Kharif,Sprinkler,Tomato,North,274.74,3.24,NPK
Loamy,6.32,21.64,0.57,1.27,31,62,118,19.38,70.86,2113.34,Cotton,Sowing,Rabi,Rainfed,Potato,West,234.65,3.49,Urea
Clay,7.93,10.0,1.01,0.67,53,60,101,27.08,33.08,524.04,Rice,Vegetative,Kharif,Rainfed,Wheat,West,131.86,6.45,Urea
Clay,5.85,26.8,0.37,0.71,65,38,29,32.06,42.12,1330.72,Cotton,Vegetative,Kharif,Rainfed,Cotton,West,117.07,3.97,NPK
Silt,7.97,43.82,0.79,1.63,39,31,81,28.18,48.67,1254.92,Tomato,Vegetative,Kharif,Rainfed,Tomato,East,237.2,6.01,DAP
Sandy,5.1,33.43,1.29,1.92,31,15,14,13.99,73.77,2057.42,Tomato,Sowing,Zaid,Sprinkler,Potato,South,110.93,5.73,NPK
Silt,8.02,15.7,1.0,1.74,134,47,73,12.68,47.22,796.43,Potato,Vegetative,Zaid,Canal,Cotton,East,91.76,1.81,Zinc Sulphate
Sandy,7.94,40.0,0.56,0.83,155,46,93,25.9,40.62,1265.97,Potato,Sowing,Rabi,Sprinkler,Maize,North,109.75,4.03,Zinc Sulphate
Clay,8.31,40.75,0.43,1.66,130,67,71,30.63,84.54,1636.51,Rice,Vegetative,Rabi,Sprinkler,Potato,Central,297.93,3.81,Zinc Sulphate
Clay,6.84,53.13,0.8,0.99,54,11,60,24.3,72.58,2411.32,Cotton,Harvest,Kharif,Rainfed,Maize,South,162.1,5.5,DAP
Loamy,6.86,15.82,0.23,2.43,142,41,69,13.47,56.2,2726.89,Potato,Sowing,Kharif,Canal,Potato,West,155.05,2.91,Compost
Loamy,6.47,45.09,0.31,2.04,106,72,101,10.85,79.62,1891.55,Maize,Sowing,Kharif,Rainfed,Potato,East,205.69,5.14,NPK
Sandy,5.43,29.92,0.4,2.2,58,58,50,29.87,67.5,850.78,Cotton,Harvest,Zaid,Sprinkler,Cotton,South,226.37,4.92,Compost
Loamy,4.89,45.58,0.9,2.25,110,70,17,32.07,54.98,2831.04,Sugarcane,Flowering,Zaid,Sprinkler,Wheat,Central,143.9,7.32,MOP
Loamy,6.58,15.43,1.46,1.62,70,31,41,33.09,37.47,1611.38,Cotton,Flowering,Rabi,Sprinkler,Maize,East,109.86,6.69,DAP
Clay,6.32,18.36,1.17,2.59,43,47,65,34.62,80.53,2900.02,Rice,Sowing,Kharif,Sprinkler,Tomato,Central,242.91,6.46,Urea
Sandy,7.28,45.77,0.89,1.47,40,77,119,26.66,53.61,1061.16,Maize,Vegetative,Rabi,Drip,Cotton,East,144.29,3.37,Urea
Clay,6.76,44.56,1.18,0.43,122,55,62,39.2,75.63,2124.81,Wheat,Flowering,Rabi,Rainfed,Rice,South,88.47,3.08,MOP
Loamy,8.03,43.16,0.35,2.37,135,68,87,23.52,88.3,1437.43,Tomato,Vegetative,Rabi,Drip,Sugarcane,West,246.4,3.53,Zinc Sulphate
Loamy,5.41,35.8,0.76,1.61,38,37,35,17.67,62.49,1855.4,Maize,Vegetative,Rabi,Sprinkler,Potato,South,218.28,1.0,NPK
Loamy,7.34,25.94,0.86,1.02,49,51,86,23.64,50.39,1248.52,Maize,Sowing,Kharif,Rainfed,Sugarcane,East,135.61,6.32,Urea
Loamy,5.12,38.93,0.87,0.94,125,53,27,24.66,63.35,2475.62,Sugarcane,Vegetative,Rabi,Canal,Cotton,West,206.67,5.23,MOP
Loamy,6.17,31.36,1.17,1.12,42,20,19,16.79,79.51,854.21,Potato,Harvest,Kharif,Canal,Sugarcane,Central,240.07,6.83,NPK
Loamy,6.88,29.22,0.62,2.07,86,45,28,19.11,60.19,723.7,Potato,Flowering,Kharif,Rainfed,Rice,West,187.97,3.44,MOP
Clay,5.2,18.0,0.21,0.31,57,14,41,31.85,50.68,1526.0,Potato,Vegetative,Kharif,Sprinkler,Potato,North,246.58,4.95,NPK
Loamy,5.82,13.29,0.56,1.37,52,33,80,19.2,62.72,2687.01,Maize,Sowing,Rabi,Sprinkler,Potato,South,210.91,8.0,DAP
Silt,7.89,33.19,0.96,1.47,97,42,77,21.55,69.14,1675.34,Potato,Flowering,Rabi,Canal,Potato,West,175.4,6.74,Zinc Sulphate
Sandy,6.43,32.11,0.5,1.09,43,31,12,12.84,82.11,1785.38,Cotton,Harvest,Rabi,Sprinkler,Wheat,Central,177.23,6.93,NPK
Sandy,5.53,39.37,0.49,1.37,158,35,23,31.86,57.23,2310.61,Potato,Harvest,Zaid,Sprinkler,Maize,Central,140.19,1.55,DAP
Silt,6.15,14.41,0.35,1.06,20,40,85,13.33,57.24,1409.14,Rice,Vegetative,Kharif,Sprinkler,Potato,East,121.69,4.75,Compost
Clay,5.92,28.31,0.84,0.78,68,50,24,21.48,68.57,856.38,Tomato,Flowering,Rabi,Rainfed,Tomato,East,141.15,6.52,MOP
Silt,7.86,35.76,0.63,0.93,67,85,95,24.2,59.6,1235.58,Tomato,Harvest,Rabi,Rainfed,Tomato,North,162.42,4.93,Zinc Sulphate
Clay,6.76,37.83,0.66,1.78,28,18,85,19.49,35.23,1723.18,Potato,Sowing,Rabi,Canal,Potato,West,174.64,2.58,MOP
Silt,6.02,35.45,0.24,0.14,34,57,10,22.23,77.97,2931.99,Rice,Flowering,Rabi,Rainfed,Cotton,Central,108.26,3.21,Compost
Silt,6.23,38.78,0.55,1.78,158,50,26,25.27,47.68,852.59,Tomato,Flowering,Rabi,Canal,Potato,East,122.65,5.7,MOP
Clay,6.29,48.81,0.75,1.18,41,87,116,30.34,85.49,1606.82,Sugarcane,Vegetative,Zaid,Drip,Cotton,North,235.21,4.53,Urea
Silt,7.41,57.13,0.87,1.66,22,10,71,18.85,64.61,1622.43,Potato,Sowing,Kharif,Drip,Potato,South,183.48,3.98,DAP
Sandy,5.67,40.0,0.88,2.8,89,50,42,22.8,73.45,2477.4,Tomato,Sowing,Zaid,Drip,Wheat,North,104.56,2.11,MOP
Clay,7.68,39.44,0.38,1.28,37,12,26,29.96,52.77,1844.5,Tomato,Vegetative,Kharif,Canal,Sugarcane,Central,199.09,2.03,NPK
Silt,6.09,31.97,0.73,0.5,96,16,100,26.35,90.0,1746.76,Sugarcane,Vegetative,Kharif,Sprinkler,Sugarcane,West,225.54,3.91,SSP
Clay,6.39,48.23,0.73,0.1,58,14,19,28.25,64.24,1234.2,Maize,Sowing,Zaid,Sprinkler,Rice,East,130.29,8.0,NPK
Silt,4.67,45.67,1.27,2.13,85,46,13,10.0,44.82,200.0,Rice,Flowering,Rabi,Canal,Rice,South,228.31,4.74,MOP
Sandy,7.36,20.91,0.33,1.27,73,20,63,25.01,33.93,1373.21,Sugarcane,Vegetative,Zaid,Rainfed,Wheat,North,246.07,7.34,Compost
Loamy,7.97,19.31,0.34,0.64,54,22,108,15.4,44.28,1199.04,Wheat,Harvest,Zaid,Drip,Potato,North,239.11,4.57,Urea
Clay,6.63,30.14,0.33,1.3,74,39,33,25.81,53.08,2183.71,Rice,Sowing,Kharif,Rainfed,Potato,North,72.93,4.18,NPK
Silt,8.43,25.38,1.28,0.1,82,58,71,25.64,41.89,2007.43,Potato,Vegetative,Rabi,Canal,Tomato,South,262.45,3.23,Zinc Sulphate
Silt,6.03,49.68,0.49,1.49,62,71,89,31.31,57.54,1092.39,Potato,Sowing,Rabi,Rainfed,Potato,Central,165.04,5.59,Urea
Loamy,7.67,34.74,0.89,2.36,65,11,36,23.92,71.2,838.82,Rice,Sowing,Kharif,Rainfed,Sugarcane,South,228.17,4.24,NPK
Loamy,7.08,37.57,1.11,2.89,40,12,27,28.45,72.84,1654.61,Maize,Flowering,Rabi,Rainfed,Potato,South,139.18,6.63,NPK
Silt,5.76,35.48,0.68,2.67,101,69,29,24.06,79.54,1697.37,Sugarcane,Flowering,Kharif,Rainfed,Maize,East,133.7,1.0,MOP
Silt,6.21,24.34,0.82,1.5,57,12,49,22.37,65.36,2212.39,Cotton,Sowing,Zaid,Rainfed,Maize,South,207.85,5.48,SSP
Silt,5.73,27.02,0.2,1.22,61,28,56,29.8,77.5,1508.32,Rice,Vegetative,Kharif,Rainfed,Potato,South,92.43,3.02,DAP
Loamy,6.88,31.66,0.26,0.55,130,45,53,24.37,68.99,1986.29,Cotton,Sowing,Zaid,Drip,Rice,West,137.69,4.2,Compost
Silt,5.54,16.64,0.86,2.85,98,20,48,27.42,70.64,1450.98,Maize,Sowing,Zaid,Rainfed,Cotton,Central,190.31,7.8,SSP
Sandy,5.89,26.62,0.39,1.97,156,12,94,24.65,51.35,1251.74,Tomato,Vegetative,Kharif,Drip,Wheat,South,286.92,1.0,Compost
Loamy,7.49,18.42,0.2,2.06,106,75,87,19.77,58.43,1264.95,Tomato,Harvest,Rabi,Drip,Potato,West,178.98,7.08,Compost
Clay,4.5,27.95,0.62,2.59,58,32,36,32.45,45.62,1197.08,Maize,Sowing,Zaid,Canal,Wheat,North,62.1,2.26,NPK
Silt,4.86,10.0,0.53,0.51,106,12,59,17.84,58.39,1936.75,Sugarcane,Sowing,Zaid,Canal,Sugarcane,West,228.43,4.76,SSP
Clay,5.93,33.18,0.87,2.38,39,84,63,30.95,39.81,1345.0,Rice,Vegetative,Rabi,Rainfed,Rice,East,94.29,4.28,Urea
Sandy,6.43,53.32,0.88,2.27,113,54,12,27.56,69.94,397.93,Maize,Flowering,Zaid,Sprinkler,Rice,North,210.9,8.0,SSP
Sandy,7.02,38.73,0.48,0.88,72,36,15,26.18,56.57,1503.72,Maize,Harvest,Kharif,Rainfed,Maize,South,178.45,6.55,NPK
Sandy,6.82,32.47,0.97,1.81,30,64,56,27.09,51.3,2672.88,Tomato,Flowering,Rabi,Rainfed,Cotton,Central,237.3,6.66,Urea
Sandy,4.83,48.98,0.47,0.94,91,15,65,33.67,90.0,1861.29,Sugarcane,Vegetative,Kharif,Rainfed,Rice,Central,159.38,1.46,SSP
Clay,6.32,45.88,0.82,1.98,73,12,46,33.06,54.81,1045.11,Sugarcane,Vegetative,Zaid,Sprinkler,Cotton,West,174.25,2.91,NPK
Loamy,7.46,32.37,1.05,1.38,66,46,33,14.01,57.66,856.63,Cotton,Vegetative,Kharif,Rainfed,Potato,Central,142.91,5.79,MOP
Sandy,5.82,47.15,0.48,3.0,58,29,29,22.01,49.21,1571.87,Sugarcane,Vegetative,Zaid,Sprinkler,Cotton,South,234.9,5.51,NPK
Silt,5.75,35.63,0.55,1.39,128,27,66,25.62,34.61,1821.3,Sugarcane,Vegetative,Kharif,Canal,Sugarcane,East,133.85,4.29,SSP
Sandy,6.79,26.31,0.65,0.48,60,74,112,22.24,52.78,1403.42,Sugarcane,Vegetative,Kharif,Sprinkler,Potato,South,258.61,3.96,Urea
Loamy,5.27,22.84,0.42,2.34,63,13,84,24.8,67.19,1679.79,Cotton,Sowing,Zaid,Drip,Tomato,Central,198.37,4.86,SSP
Sandy,5.67,51.63,0.84,1.82,53,12,95,33.03,72.02,2298.31,Tomato,Sowing,Zaid,Canal,Maize,Central,89.76,5.67,DAP
Sandy,8.02,43.47,0.7,3.0,65,65,77,17.0,61.1,1440.4,Potato,Flowering,Rabi,Sprinkler,Potato,East,97.97,2.97,Zinc Sulphate
Loamy,5.81,27.51,0.61,0.27,105,83,22,24.01,59.36,1526.76,Potato,Harvest,Zaid,Sprinkler,Sugarcane,West,186.98,8.0,MOP
Sandy,5.8,54.92,0.31,0.95,58,21,13,30.17,55.83,1525.45,Wheat,Vegetative,Zaid,Canal,Maize,North,183.08,6.43,NPK
Sandy,6.13,14.72,1.06,0.7,31,47,106,10.18,53.99,862.61,Maize,Sowing,Zaid,Sprinkler,Wheat,South,135.15,5.03,Urea
Loamy,6.67,35.95,0.45,1.97,44,39,70,28.0,72.28,792.84,Sugarcane,Vegetative,Zaid,Drip,Wheat,West,202.1,4.4,Compost
Silt,6.75,25.24,0.47,0.99,120,15,65,15.41,42.75,2342.18,Wheat,Sowing,Zaid,Rainfed,Sugarcane,South,189.65,8.0,SSP
Clay,6.5,32.12,0.32,0.97,37,44,36,28.72,66.57,1245.98,Wheat,Vegetative,Zaid,Rainfed,Potato,South,212.24,1.74,Compost
Silt,7.86,50.52,1.16,1.86,65,72,56,17.43,68.67,878.78,Rice,Flowering,Rabi,Rainfed,Tomato,North,209.13,5.46,Zinc Sulphate
Sandy,6.14,32.91,0.2,1.88,32,38,45,27.56,48.4,1748.47,Cotton,Sowing,Rabi,Canal,Potato,North,192.47,2.48,NPK
Loamy,5.63,23.56,0.7,0.76,92,13,88,25.98,68.94,2964.5,Rice,Sowing,Zaid,Sprinkler,Sugarcane,West,132.19,6.49,SSP
Clay,7.3,27.7,1.18,2.15,63,74,14,24.04,50.79,2130.83,Cotton,Flowering,Kharif,Rainfed,Maize,Central,233.76,3.49,MOP
Loamy,7.6,29.62,0.64,1.63,24,27,81,28.31,55.5,629.66,Wheat,Sowing,Zaid,Rainfed,Potato,South,135.27,6.26,DAP
Clay,7.33,28.26,0.91,1.38,41,26,15,22.94,55.14,1592.88,Maize,Flowering,Zaid,Rainfed,Wheat,East,177.58,6.42,NPK
Clay,8.08,51.66,1.22,0.89,91,66,110,20.8,57.79,1036.08,Wheat,Flowering,Kharif,Drip,Sugarcane,East,212.35,3.48,Zinc Sulphate
Sandy,7.46,38.16,0.98,1.21,47,52,101,32.59,53.4,2302.5,Wheat,Vegetative,Zaid,Canal,Maize,Central,161.53,1.0,Urea
Silt,6.24,41.5,0.83,1.71,92,12,73,30.41,52.02,1625.99,Cotton,Sowing,Rabi,Sprinkler,Sugarcane,Central,129.62,1.62,SSP
Silt,7.3,31.7,0.78,1.54,107,61,60,28.52,51.98,1162.49,Potato,Sowing,Rabi,Canal,Cotton,Central,141.53,5.8,Zinc Sulphate
Silt,6.0,22.33,0.53,1.8,63,25,89,24.85,56.97,295.49,Maize,Vegetative,Rabi,Drip,Tomato,South,58.49,2.65,DAP
Sandy,5.38,54.41,1.16,1.96,108,14,44,35.12,44.43,1593.55,Cotton,Sowing,Kharif,Rainfed,Cotton,North,208.31,5.67,DAP
Clay,6.97,32.75,1.35,1.87,42,42,103,21.1,50.7,2254.93,Rice,Vegetative,Rabi,Sprinkler,Maize,East,158.49,3.11,Urea
Sandy,6.34,37.23,0.92,2.34,68,48,31,27.5,66.49,1819.32,Potato,Flowering,Rabi,Drip,Wheat,North,206.41,5.41,MOP
Sandy,7.33,30.8,0.39,1.0,59,22,85,17.43,53.07,1590.71,Cotton,Sowing,Rabi,Rainfed,Tomato,Central,170.45,4.09,Compost
Clay,4.82,55.21,0.58,1.92,101,15,63,27.14,66.58,1506.34,Rice,Sowing,Kharif,Canal,Maize,East,253.61,4.43,SSP
Sandy,5.49,18.41,0.73,0.5,73,16,41,27.02,68.62,2597.79,Cotton,Vegetative,Rabi,Rainfed,Cotton,West,203.43,8.0,SSP
Clay,6.49,17.93,0.63,1.58,113,16,56,20.6,61.55,2146.4,Cotton,Vegetative,Kharif,Drip,Maize,South,182.39,2.09,SSP
Clay,5.3,19.69,0.34,1.09,158,24,115,24.77,36.44,1567.76,Potato,Vegetative,Rabi,Rainfed,Potato,South,153.48,5.39,Compost
Silt,6.06,26.28,0.82,0.9,41,11,107,25.08,71.61,1304.43,Maize,Sowing,Kharif,Rainfed,Potato,West,172.72,7.5,DAP
Loamy,8.19,24.64,0.67,0.22,150,85,80,21.7,40.15,985.12,Maize,Sowing,Zaid,Canal,Sugarcane,North,270.01,4.16,Compost
Silt,6.05,37.52,0.74,1.63,22,40,54,17.98,47.37,1350.13,Sugarcane,Vegetative,Kharif,Drip,Maize,West,119.27,1.09,Urea
Clay,7.0,10.0,0.31,2.13,147,84,87,32.74,60.42,1312.41,Sugarcane,Vegetative,Kharif,Canal,Maize,East,114.96,5.6,Compost
Sandy,8.26,35.38,0.74,1.28,66,67,91,22.42,57.66,1842.48,Maize,Harvest,Rabi,Drip,Tomato,East,186.39,3.04,Zinc Sulphate
Loamy,5.79,35.75,1.45,0.45,69,84,23,36.98,84.41,208.67,Maize,Harvest,Zaid,Rainfed,Tomato,Central,152.04,3.56,MOP
Loamy,7.97,27.05,0.53,0.33,131,86,109,27.63,49.63,1703.09,Potato,Sowing,Zaid,Drip,Sugarcane,South,87.47,6.93,Zinc Sulphate
Loamy,6.35,30.83,0.31,2.03,68,62,111,22.93,61.25,2411.23,Potato,Sowing,Kharif,Rainfed,Sugarcane,North,196.56,3.63,Compost
Silt,4.5,36.61,0.62,1.52,103,17,76,24.16,59.49,710.43,Cotton,Sowing,Kharif,Drip,Sugarcane,East,219.44,5.99,SSP
Silt,6.45,28.67,0.2,2.34,141,47,39,27.19,48.9,423.52,Potato,Sowing,Zaid,Rainfed,Sugarcane,North,159.95,5.19,Compost
Clay,8.03,43.27,0.73,0.1,134,69,60,36.18,68.55,2260.79,Maize,Vegetative,Kharif,Rainfed,Tomato,West,238.19,4.2,Zinc Sulphate
Silt,6.89,31.59,0.86,3.0,30,31,114,21.28,65.26,1996.67,Cotton,Sowing,Zaid,Sprinkler,Potato,South,237.18,2.02,DAP
Clay,6.68,22.2,0.79,2.61,31,29,96,15.36,67.35,1948.73,Wheat,Flowering,Rabi,Canal,Potato,North,148.99,8.0,DAP
Loamy,5.43,21.91,0.23,0.98,63,53,75,37.83,42.55,1106.93,Cotton,Sowing,Zaid,Sprinkler,Maize,South,252.55,4.93,Compost
Loamy,5.38,10.0,0.84,2.05,102,55,30,20.02,64.29,1198.57,Cotton,Flowering,Rabi,Rainfed,Tomato,West,300.0,6.25,MOP
Loamy,6.97,28.43,0.57,0.81,50,81,81,20.21,68.47,1381.09,Cotton,Vegetative,Kharif,Sprinkler,Sugarcane,North,237.05,1.13,Urea
Loamy,6.06,24.02,0.49,1.11,45,18,98,23.86,64.51,626.95,Potato,Vegetative,Zaid,Sprinkler,Tomato,West,138.48,1.82,DAP
Sandy,5.0,49.19,0.82,1.84,25,28,104,30.24,81.84,1735.62,Tomato,Sowing,Rabi,Rainfed,Potato,West,240.07,7.84,DAP
Loamy,5.59,47.24,1.17,1.89,29,23,45,27.29,65.62,1288.77,Maize,Vegetative,Rabi,Sprinkler,Wheat,West,290.16,6.16,NPK
Loamy,7.56,34.01,0.5,1.02,50,12,39,22.46,61.39,1343.67,Wheat,Vegetative,Kharif,Rainfed,Rice,South,186.05,5.58,NPK
Silt,7.77,26.28,0.84,0.26,38,17,88,31.34,53.4,2532.82,Sugarcane,Sowing,Rabi,Drip,Sugarcane,North,166.42,5.12,Urea
Clay,8.0,17.85,0.62,1.82,55,45,91,21.56,74.99,2315.14,Rice,Harvest,Rabi,Rainfed,Sugarcane,Central,219.26,4.07,Urea
